1,page,CLASSIC AN VINTAGE,,,Quantity (oz),,,
781,165,LE SUBTIL,BITTERMENS HOPPED GRAPEFRUIT BITTERS,BITTERS (GRAPEFRUIT),0.0625,,,
782,,,,,,,,
783,165,LIGHT AND DAY,PLYMOUTH GIN,GIN (PLYMOUTH),2,"Stir all the ingredients over ice, then strain into a",ALEX DAY 2008,
784,165,LIGHT AND DAY,YELLOW CHARTREUSE,CHARTREUSE (YELLOW),0.5,coupe. No garnish.,The first drink I created for Death & Co breaks,
785,165,LIGHT AND DAY,MARASKA MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.25,,"a few rules (e.g., using fresh orange juice in a",
786,165,LIGHT AND DAY,ORANGE JUICE,JUICE (ORANGE),0.25,,"stirred cocktail), but it turned out delicious",
787,165,LIGHT AND DAY,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.125,,enough to not get me fired.—AD,
788,,,,,,,,
789,,,,,,,,
790,166,LUCINO’S DELIGHT,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),2,"Stir all the ingredients over ice, then strain into a",PHIL WARD 2007,
791,166,LUCINO’S DELIGHT,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.75,coupe. No garnish.,,
792,166,LUCINO’S DELIGHT,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.25,,,
793,166,LUCINO’S DELIGHT,AMARO LUCANO,AMARO (MEDIUM),0.25,,,
794,,,,,,,,
795,166,MAINLAND,GRAPEFRUIT TWISTS,TWIST (GRAPEFRUIT),2 twists,"Squeeze the grapefruit twists over the mixing glass,",THOMAS WAUGH 2009,
796,166,MAINLAND,TANQUERAY NO. TEN GIN,GIN (LONDON DRY),2,then drop them in. Add the remaining ingredients,"This is a riff on the Alaska cocktail, which first",
797,166,MAINLAND,GALLIANO L’AUTENTICO,LIQUEUR (GALLIANO),0.5,and stir over ice. Strain into a coupe. No garnish.,appeared in The Savoy Cocktail Book. The,
798,166,MAINLAND,SIMPLE SYRUP,SYRUP (SIMPLE),0.166667,,Alaska is a martini made with yellow,
799,166,MAINLAND,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,"Chartreuse; I subbed in Galliano, which is",
800,,,,,,,"similar but with more pronOUNCE,d vanilla and",
801,,,,,,,anise flavors.—TW,
802,,,,,,,,
803,,,,,,,,
804,166,MAY FAIR,TANQUERAY LONDON DRY GIN,GIN (LONDON DRY),1,GARNISH: 1 ORANGE TWIST,ERYN REECE 2013,
805,166,MAY FAIR,KROGSTAD AQUAVIT,LIQUEUR (CARAWAY) (AQUAVIT),0.5,"Stir all the ingredients over ice, then strain into a",I combined traditional and modern styles of,
806,166,MAY FAIR,LINIE AQUAVIT,LIQUEUR (CARAWAY) (AQUAVIT),0.5,"double rocks glass over 1, large ice cube. Garnish",aquavit in this Vieux Carré variation: Krogstad,
807,166,MAY FAIR,HOUSE SWEET VERMOUTH,VERMOUTH (SWEET),1,with the orange twist.,"is an unaged, American-made aquavit that’s",
808,166,MAY FAIR,BÉNÉDICTINE,LIQUEUR (BÉNÉDICTINE),0.25,,"more anise-forward, while Linie is a classic",
809,166,MAY FAIR,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,,Scandinavian aquavit with big caraway,
810,166,MAY FAIR,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.0625,,flavors.—ER,
811,,,,,,,,
812,,,,,,,,
813,166,MEXI-GIN MARTINI,PLYMOUTH GIN,GIN (PLYMOUTH),2,"Stir all the ingredients over ice, then strain into a",PHIL WARD 2012,
814,166,MEXI-GIN MARTINI,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.5,coupe. No garnish.,This drink started with the name. I wanted to,
815,166,MEXI-GIN MARTINI,DEL MAGUEY CREMA DE MEZCAL,AGAVE (MEZCAL),0.25,,"create a martini with both tequila and mezcal,",
816,166,MEXI-GIN MARTINI,JALAPEÑO-INFUSED SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),0.25,,so I paired them with a softer gin and added,
817,166,MEXI-GIN MARTINI,GREEN CHARTREUSE,CHARTREUSE (GREEN),0.25,,Chartreuse and celery bitters to provide even,
818,166,MEXI-GIN MARTINI,BITTER TRUTH CELERY BITTERS,BITTERS (CELERY),0.03125,,more complexity.—PW,
819,,,,,,,,
820,,,,,,,,
821,166,THE MONROE,ANCHOR JUNIPERO GIN,GIN (LONDON DRY),1.5,Stir all the ingredients (except the club soda) over,SCOTT TEAGUE 2013,
822,166,THE MONROE,MASSENEZ CRÈME DE PÊCHE PEACH LIQUEUR,LIQUEUR (PEACH),0.0833335,"ice, then strain into a double rocks glass over 1,",A friend pointed out that there aren’t any,
823,166,THE MONROE,ORGEAT,SYRUP (ORGEAT),0.25,large ice cube. Add the club soda. No garnish.,old-fashioned-style drinks made with orgeat. So,
824,166,THE MONROE,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.09375,,"I thought up this cocktail, which is very pretty",
825,166,THE MONROE,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,,"but a little bit crazy, just like Marilyn.—ST",
826,166,THE MONROE,CLUB SODA,SODA,0.5,,,
827,,,,,,,,
828,167,MOON COCKTAIL,PLYMOUTH GIN,GIN (PLYMOUTH),2,Stir all the ingredients (except the lemon twist),THOMAS WAUGH 2008,
829,167,MOON COCKTAIL,LUSTAU AMONTILLADO SHERRY,SHERRY (AMONTILLADO),0.75,"over ice, then strain into a coupe. Squeeze the",,
830,167,MOON COCKTAIL,MASSENEZ CRÈME DE PÊCHE PEACH LIQUEUR,LIQUEUR (PEACH),0.166667,lemon twist over the drink and discard. No,,
831,167,MOON COCKTAIL,ACACIA HONEY SYRUP,SYRUP (HONEY),0.25,garnish.,,
832,167,MOON COCKTAIL,LEMON TWIST,TWIST (LEMON),1 twist,,,
833,,,,,,,,
834,167,NIGHT WATCH,RANSOM OLD TOM GIN,GIN (OLD TOM),1.5,"Stir all the ingredients over ice, then strain into a",JESSICA GONZALEZ 2011,
835,167,NIGHT WATCH,CRUZAN BLACK STRAP RUM,RUM (SPANISH),0.5,coupe. No garnish.,A lot of the guys like to name drinks after,
836,167,NIGHT WATCH,LUSTAU EAST INDIA SOLERA SHERRY,SHERRY,0.75,,"songs or movies. I prefer works of art, like this",
837,167,NIGHT WATCH,SIMPLE SYRUP,SYRUP (SIMPLE),0.166667,,Rembrandt painting.—JG,
838,167,NIGHT WATCH,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
839,,,,,,,,
840,169,PRESSURE DROP,RANSOM OLD TOM GIN,GIN (OLD TOM),1.5,"Stir all the ingredients over ice, then strain into a",THOMAS WAUGH 2009,
841,169,PRESSURE DROP,AMARO MELETTI,AMARO (MILD),1,coupe. No garnish.,,
842,169,PRESSURE DROP,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.5,,,
843,169,PRESSURE DROP,CLEAR CREEK PEAR BRANDY,BRANDY (PEAR),0.166667,,,
844,169,PRESSURE DROP,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
845,,,,,,,,
846,169,SENTIMENTAL JOURNEY,TANQUERAY NO. TEN GIN,GIN (LONDON DRY),1.5,GARNISH: 1 LEMON TWIST,BRIAN MILLER 2008,
847,169,SENTIMENTAL JOURNEY,MORRO BAY CHARDONNAY,WINE (WHITE),1,"Stir all the ingredients over ice, then strain into a",This cocktail was inspired by what many,
848,169,SENTIMENTAL JOURNEY,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.5,coupe. Garnish with the lemon twist.,"consider the original martini recipe, which",
849,,,,,,,"consisted of gin, Sauvignon Blanc, and grated",
850,,,,,,,cinnamon.—BM,
851,,,,,,,,
852,,,,,,,,
853,169,SUMMER SHACK,MARTIN MILLER’S WESTBOURNE-STRENGTH GIN,GIN,1.5,Stir all the ingredients (except the orange twist),JOAQUÍN SIMÓ 2009,
854,169,SUMMER SHACK,LILLET BLANC,APPERITIF (LILLET BLANC),0.75,"over ice, then strain into a coupe. Squeeze the",,
855,169,SUMMER SHACK,SAUVIGNON BLANC,WINE (WHITE),0.5,orange twist over the drink and discard. No,,
856,169,SUMMER SHACK,ST-GERMAIN,LIQUEUR (ELDERFLOWER),0.25,garnish.,,
857,169,SUMMER SHACK,SIMPLE SYRUP,SYRUP (SIMPLE),0.166667,,,
858,169,SUMMER SHACK,ORANGE TWIST,TWIST (ORANGE),1 twist,,,
859,,,,,,,,
860,169,SURE SHOT,HAYMAN’S OLD TOM GIN,GIN (OLD TOM),1.5,"Stir all the ingredients over ice, then strain into a",JILLIAN VOSE 2011,
861,169,SURE SHOT,BOLS GENEVER,GIN (GENEVER),0.5,coupe. No garnish.,,
862,169,SURE SHOT,ANCHO CHILE–INFUSED DOLIN ROUGE VERMOUTH,VERMOUTH (SWEET),0.75,,,
863,169,SURE SHOT,GALLIANO RISTRETTO,LIQUEUR (GALLIANO),0.166667,,,
864,169,SURE SHOT,DEMERARA SYRUP,SYRUP (DEMERARA),0.166667,,,
865,169,SURE SHOT,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,,,
866,,,,,,,,
867,169,WOODEN SHIP,TANQUERAY NO. TEN GIN,GIN (LONDON DRY),1,GARNISH: 1 LEMON TWIST,THOMAS WAUGH 2011,
868,169,WOODEN SHIP,BOLS GENEVER,GIN (GENEVER),1,"Stir all the ingredients over ice, then strain into a",,
869,169,WOODEN SHIP,GRAND MARNIER,LIQUEUR (ORANGE),0.5,rocks glass. Garnish with the lemon twist.,,
870,169,WOODEN SHIP,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.0833335,,,
871,169,WOODEN SHIP,FEE BROTHERS WHISKEY BARREL-AGED BITTERS,BITTERS (AROMATIC),0.03125,,,
872,,,,,,,,
873,169,YEOMEN WARDER,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),2,"Stir all the ingredients over ice, then strain into a",PHIL WARD 2008,
874,169,YEOMEN WARDER,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.75,coupe. No garnish.,,
875,169,YEOMEN WARDER,CYNAR,AMARO (CYNAR),0.25,,,
876,169,YEOMEN WARDER,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.25,,,
877,,,,,,,,
878,,RUM SHAKEN,,,,,,
879,,,,,,,,
880,170,18TH CENTURY,VAN OOSTEN BATAVIA ARRACK,BATAVIA ARRACK,1.5,"Shake all the ingredients with ice, then strain into",PHIL WARD 2008,
881,170,18TH CENTURY,MARIE BRIZARD WHITE CRÈME DE CACAO,LIQUEUR (CRÈME DE CACAO),0.75,a coupe. No garnish.,"This variation on the classic 2,0th Century",
882,170,18TH CENTURY,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.75,,cocktail is my love letter to Batavia,
883,170,18TH CENTURY,LIME JUICE,JUICE (LIME),0.75,,arrack.—PW,
884,,,,,,,,
885,,,,,,,,
886,170,BOO-YA CACHAÇA,LA FAVORITE RHUM AGRICOLE BLANC,RUM (AGRICOLE BLANC),1.5,Short shake all the ingredients (except the club,SCOTT TEAGUE 2013,
887,170,BOO-YA CACHAÇA,LUSTAU LOS ARCOS AMONTILLADO SHERRY,SHERRY,0.5,"soda) with 3 ice cubes, then strain into a highball","This is my “fuck you” to cachaça, because I",
888,170,BOO-YA CACHAÇA,CRÈME YVETTE,LIQUEUR (CRÈME YVETTE),0.25,glass over 3 ice cubes. Top with club soda and,really don’t like the stuff—it’s basically an,
889,170,BOO-YA CACHAÇA,LIME JUICE,JUICE (LIME),0.75,serve with a straw. No garnish.,inferior version of rhum agricole.—ST,
890,170,BOO-YA CACHAÇA,GINGER SYRUP,SYRUP (GINGER),0.75,,,
891,170,BOO-YA CACHAÇA,CLUB SODA,SODA,remainder,,,
892,,,,,,,,
893,170,CARIBBEAN SHRUB,APPLETON ESTATE V/X RUM,RUM (JAMAICAN),1,GARNISH: ½ STRAWBERRY,JOAQUÍN SIMÓ 2008,
894,170,CARIBBEAN SHRUB,LA FAVORITE RHUM AGRICOLE BLANC,RUM (AGRICOLE BLANC),1,"Short shake all the ingredients with 3 ice cubes,",This cocktail was inspired by the colonial-era,
895,170,CARIBBEAN SHRUB,STRAWBERRY-BALSAMIC GASTRIQUE,SYRUP (GASTRIQUE),0.75,then strain into a highball glass filled with crushed,"family of drinks known as shrubs, in which a",
896,170,CARIBBEAN SHRUB,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.25,ice. Garnish with the half strawberry and serve,vinegar syrup is mixed with spirits.—JS,
897,,,,,,with a straw.,,
898,,,,,,,,
899,170,COMPANY BUCK,GOSLING’S BLACK SEAL RUM,RUM (ENGLISH),2,GARNISH: 1 LIME WHEEL,PHIL WARD 2007,
900,170,COMPANY BUCK,PINEAPPLE JUICE,JUICE (PINEAPPLE),1,Shake all the ingredients (except the club soda),,
901,170,COMPANY BUCK,LIME JUICE,JUICE (LIME),0.75,"with ice, then strain into a highball glass filled with",,
902,170,COMPANY BUCK,GINGER SYRUP,SYRUP (GINGER),0.5,ice cubes. Top with club soda. Garnish with the,,
903,170,COMPANY BUCK,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,lime wheel and serve with a straw.,,
904,170,COMPANY BUCK,CLUB SODA,SODA,remainder,,,
905,,,,,,,,
906,171,FLOR DE JEREZ,APPLETON ESTATE RESERVE RUM,RUM (JAMAICAN),0.5,"Shake all the ingredients with ice, then strain into",JOAQUÍN SIMÓ 2009,
907,171,FLOR DE JEREZ,LUSTAU AMONTILLADO SHERRY,SHERRY (AMONTILLADO),1.5,a coupe. No garnish.,Apricots are such a frustrating fresh fruit to,
908,171,FLOR DE JEREZ,ROTHMAN & WINTER APRICOT LIQUEUR,LIQUEUR (APRICOT),0.25,,work with because they’re so inconsistent. You,
909,171,FLOR DE JEREZ,LEMON JUICE,JUICE (LEMON),0.75,,can buy a dozen of them and have two that,
910,171,FLOR DE JEREZ,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,,"are perfect beyond belief, three that are almost",
911,171,FLOR DE JEREZ,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,"delicious, and seven others that are a mealy",
912,,,,,,,bunch of nothing. That’s why I use a good,
913,,,,,,,apricot liqueur in this drink instead of fresh,
914,,,,,,,fruit. I was after a light-bodied cocktail that,
915,,,,,,,shone forth with fruit and nuts yet remained,
916,,,,,,,dry and refreshing.—JS,
917,,,,,,,,
918,,,,,,,,
919,171,GET LUCKY,BLACKBERRIES,FRUIT (BLACKBERRY),3 berries,GARNISH: HOUSE PEYCHAUD’S BITTERS,SCOTT TEAGUE 2013,
920,171,GET LUCKY,FLOR DE CAÑA EXTRA-DRY WHITE RUM,RUM (SPANISH WHITE),2,"In a pilsner glass, gently muddle the blackberries.",This drink comes from me not taking myself,
921,171,GET LUCKY,LEMON JUICE,JUICE (LEMON),0.75,"Fill the glass with crushed ice. In a shaker, whip",too seriously. I wanted to make something that,
922,171,GET LUCKY,GINGER SYRUP,SYRUP (GINGER),0.25,"the remaining ingredients, shaking with a few",looks like it could come from TGI Fridays but,
923,171,GET LUCKY,ORGEAT,SYRUP (ORGEAT),0.25,pieces of crushed ice just until incorporated. Strain,tastes like a Death & Co drink.—ST,
924,171,GET LUCKY,ACACIA HONEY SYRUP,SYRUP (HONEY),0.25,into the glass. Garnish with a thin layer of bitters,,
925,,,,,,and serve with a straw.,,
926,,,,,,,,
927,172,THE GIFT SHOP,CUCUMBER WHEELS,VEGETABLE (CUCUMBER),3 wheels,GARNISH: 3 CUCUMBER WHEELS,THOMAS WAUGH 2011,
928,172,THE GIFT SHOP,BANKS 5-ISLAND WHITE RUM,RUM (ENGLISH WHITE),2,"In a shaker, muddle the cucumber wheels. Add",,
929,172,THE GIFT SHOP,CARDAMARO,AMARO (MILD),0.5,the remaining ingredients and shake with ice.,,
930,172,THE GIFT SHOP,LIME JUICE,JUICE (LIME),0.75,"Double strain into a double rocks glass over 1,",,
931,172,THE GIFT SHOP,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,large ice cube. Garnish with the cucumber wheels,,
932,172,THE GIFT SHOP,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,fanned on top of the drink.,,
933,,,,,,,,
934,172,THE GREAT PRETENDER,CINNAMON-SUGAR RIM,RIM (CINNAMON SUGAR),,Rim a coupe with cinnamon-sugar. Shake the,THOMAS WAUGH 2011,
935,172,THE GREAT PRETENDER,SMITH & CROSS RUM,RUM (JAMAICAN),2,"remaining ingredients with ice, then strain into the",This is basically a rum version of Brian’s Gilda,
936,172,THE GREAT PRETENDER,PINEAPPLE JUICE,JUICE (PINEAPPLE),0.5,coupe. No garnish.,"Cocktail, hence the name. It’s also the only",
937,172,THE GREAT PRETENDER,LIME JUICE,JUICE (LIME),0.5,,"drink I’ve made that uses a full two OUNCES, of",
938,172,THE GREAT PRETENDER,VANILLA SYRUP,SYRUP (VANILLA),0.5,,overproof rum.—TW,
939,172,THE GREAT PRETENDER,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.166667,,,
940,,,,,,,,
941,172,THE GREEN MILE,BARBANCOURT WHITE RUM,RUM (AGRICOLE BLANC),2,"GARNISH: 1, THAI BASIL LEAF",PHIL WARD 2008,
942,172,THE GREEN MILE,GREEN CHARTREUSE,CHARTREUSE (GREEN),0.5,"Shake all the ingredients with ice, then double","I borrowed the template for this drink—liquor,",
943,172,THE GREEN MILE,VIEUX PONTARLIER ABSINTHE,ABSINTHE,0.0625,strain into a coupe. Garnish with the basil leaf.,"Chartreuse, citrus juice, and simple syrup—from",
944,172,THE GREEN MILE,LIME JUICE,JUICE (LIME),0.75,,the Daisy de Santiago cocktail in Charles H.,
945,172,THE GREEN MILE,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,,Baker’s The Gentleman’s Companion. It’s a very,
946,172,THE GREEN MILE,THAI BASIL LEAVES,LEAF (BASIL),4 leaves,,versatile ratio that I’ve used for a bunch of,
947,,,,,,,drinks.—PW,
948,,,,,,,,
949,,,,,,,,
950,172,JULIUS ORANGE,PIERRE FERRAND DRY CURAÇAO,LIQUEUR (ORANGE),2,GARNISH: NUTMEG,BRAD FARRAN 2012,
951,172,JULIUS ORANGE,CRUZAN SINGLE-BARREL RUM,RUM (SPANISH),0.5,Short shake all the ingredients with 3 ice cubes.,"This concept drink was inspired by, you guessed",
952,172,JULIUS ORANGE,LEMON JUICE,JUICE (LEMON),0.5,Strain into a double rocks glass filled with crushed,"it, the Orange Julius. The curaçao really makes",
953,172,JULIUS ORANGE,VANILLA SYRUP,SYRUP (VANILLA),0.166667,ice. Garnish with a few grates of nutmeg and,"for a dry drink, which allowed me to add other",
954,172,JULIUS ORANGE,HEAVY CREAM,CREAM (HEAVY),0.5,serve with a straw.,sweet flavors without making it cloying.—BF,
955,172,JULIUS ORANGE,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,,,
956,,,,,,,,
957,172,KERALA,CARDAMOM PODS,SPICE (CARDAMOM PODS),5 pods,"In a shaker, gently muddle the cardamom pods.",JOAQUÍN SIMÓ 2008,
958,172,KERALA,SCARLET IBIS RUM,RUM (ENGLISH),1,Add the remaining ingredients and shake with ice.,,
959,172,KERALA,BUFFALO TRACE BOURBON,WHISKEY (BOURBON),1,Double strain into a coupe. No garnish.,,
960,172,KERALA,PINEAPPLE JUICE,JUICE (PINEAPPLE),0.5,,,
961,172,KERALA,LEMON JUICE,JUICE (LEMON),0.5,,,
962,172,KERALA,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,,,
963,172,KERALA,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
964,172,KERALA,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.03125,,,
965,,,,,,,,
966,173,KOKO B. WARE,APPLETON ESTATE V/X RUM,RUM (JAMAICAN),1.5,GARNISH: NUTMEG,THOMAS WAUGH 2009,
967,173,KOKO B. WARE,LA FAVORITE RHUM AGRICOLE AMBRE,RUM (AGRICOLE AMBRE),0.25,"Short shake all the ingredients with 3 ice cubes,",I wanted to craft a drink that tastes like,
968,173,KOKO B. WARE,LIME JUICE,JUICE (LIME),0.5,then strain into a coconut mug filled with crushed,"coconut without any in it, and the combination",
969,173,KOKO B. WARE,ORGEAT,SYRUP (ORGEAT),0.5,ice. Garnish with a few grates of nutmeg and,"of rhum agricole, orgeat, and cream does just",
970,173,KOKO B. WARE,VANILLA SYRUP,SYRUP (VANILLA),0.166667,serve with a straw.,"that. Then I named it, fittingly, after one of my",
971,173,KOKO B. WARE,HEAVY CREAM,CREAM (HEAVY),0.5,,favorite WWF wrestlers.—TW,
972,173,KOKO B. WARE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,,,
973,173,KOKO B. WARE,FRESHLY GROUND NUTMEG,SPICE (NUTMEG),pinch,,,
974,,,,,,,,
975,173,PATOIS PUNCH,RON DEL BARRILITO 3-STAR RUM,RUM (SPANISH),1,"Shake all the ingredients with ice, then strain into",JOAQUÍN SIMÓ 2009,
976,173,PATOIS PUNCH,BUSNEL VSOP CALVADOS,BRANDY (APPLE),1,a coupe. No garnish.,"This is fall in a glass, or a potable pumpkin",
977,173,PATOIS PUNCH,DONN’S SPICES #2,MIX (DONN’S SPICES #2),0.0833335,,pie.—JS,
978,173,PATOIS PUNCH,LEMON JUICE,JUICE (LEMON),0.5,,,
979,173,PATOIS PUNCH,MAPLE SYRUP,SYRUP (MAPLE),0.5,,,
980,173,PATOIS PUNCH,PUMPKIN PUREE,PUREE (PUMPKIN),1,,,
981,,,,,,,,
982,173,PELÉE’S BLOOD,RHUM JM 100-PROOF AGRICOLE BLANC,RUM (AGRICOLE BLANC),1.5,GARNISH: 1 LIME WHEEL AND CHERRY FLAG,"THOMAS WAUGH, 2,010",
983,173,PELÉE’S BLOOD,DONN’S SPICES #2,MIX (DONN’S SPICES #2),1.5,"Shake all the ingredients with ice, then strain into",Mount Pelée is a volcano that erupted on,
984,173,PELÉE’S BLOOD,VIEUX PONTARLIER ABSINTHE,ABSINTHE,0.0625,a double rocks glass filled with ice cubes. Garnish,"Martinique in 1,902,, resulting in the worst",
985,173,PELÉE’S BLOOD,LIME JUICE,JUICE (LIME),0.75,with the lime wheel and cherry flag.,volcanic disaster of the twentieth century.—TW,
986,173,PELÉE’S BLOOD,GRENADINE,SYRUP (GRENADINE),0.5,,,
987,173,PELÉE’S BLOOD,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.166667,,,
988,,,,,,,,
989,173,SEA B3,GOSLING’S BLACK SEAL RUM,RUM (ENGLISH),2,"Shake all the ingredients with ice, then strain into",PHIL WARD 2008,
990,173,SEA B3,LEMON JUICE,JUICE (LEMON),0.5,a coupe. No garnish.,This is one of several cocktails inspired by the,
991,173,SEA B3,ORANGE JUICE,JUICE (ORANGE),0.5,,worst days of our battles with our community,
992,173,SEA B3,GRENADINE,SYRUP (GRENADINE),0.5,,"board, aka CB3.—PW",
993,,,,,,,,
994,,,,,,,,
995,174,SEERSUCKER,STRAWBERRY,FRUIT (STRAWBERRY),1 berry,GARNISH: 1 STRAWBERRY,BRIAN MILLER 2009,
996,174,SEERSUCKER,FLOR DE CAÑA EXTRA-DRY WHITE RUM,RUM (SPANISH WHITE),2,"In a shaker, gently muddle the strawberry. Add",,
997,174,SEERSUCKER,LEMON JUICE,JUICE (LEMON),1,"the remaining ingredients and short shake with 3,",,
998,174,SEERSUCKER,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.5,ice cubes. Strain into a pilsner glass filled with,,
999,,,,,,crushed ice. Garnish with the strawberry and serve,,
1000,,,,,,with a straw.,,
1001,,,,,,,,
1002,174,SLING OF APHRODITE,LA FAVORITE RHUM AGRICOLE AMBRE,RUM (AGRICOLE AMBRE),2,GARNISH: 1 APPLE FAN,JOAQUÍN SIMÓ 2009,
1003,174,SLING OF APHRODITE,CLEAR CREEK PEAR BRANDY,BRANDY (PEAR),0.5,"Shake all the ingredients with ice, then strain into",,
1004,174,SLING OF APHRODITE,FUJI APPLE JUICE,JUICE (APPLE),1,a highball glass filled with ice cubes. Garnish with,,
1005,174,SLING OF APHRODITE,LEMON JUICE,JUICE (LEMON),0.25,the apple fan and serve with a straw.,,
1006,174,SLING OF APHRODITE,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.5,,,
1007,,,,,,,,
1008,,RUM STIRRED,,,,,,
1009,,,,,,,,
1010,175,AMITYVILLE,BACARDI RON SUPERIOR LIMITED EDITION,RUM (SPANISH),1.5,"GARNISH: 1, GRANNY SMITH APPLE SLICE",JILLIAN VOSE 2013,
1011,175,AMITYVILLE,BANKS 5-ISLAND WHITE RUM,RUM (ENGLISH WHITE),0.25,"Stir all the ingredients over ice, then strain into a",The rum used here was released to celebrate,
1012,175,AMITYVILLE,DOLIN BLANC VERMOUTH,VERMOUTH (BLANC),0.5,Nick & Nora glass. Garnish with the apple slice.,the 150th anniversary of Bacardi and made,
1013,175,AMITYVILLE,VIEUX PONTARLIER ABSINTHE,ABSINTHE,0.03125,,according to the distillery’s original recipe. The,
1014,175,AMITYVILLE,GRANNY SMITH APPLE JUICE,JUICE (APPLE),0.5,,"drink takes on a cloudy, off-green color, which",
1015,175,AMITYVILLE,VANILLA SYRUP,SYRUP (VANILLA),0.25,,I thought was kind of ghostly.—JV,
1016,175,AMITYVILLE,ACID PHOSPHATE,OTHER (ACID PHOSPHATE),0.0833335,,,
1017,175,AMITYVILLE,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,,,
1018,,,,,,,,
1019,175,ANGIE’S SECRET,BARBANCOURT WHITE RUM,RUM (AGRICOLE BLANC),1,"Stir all the ingredients over ice, then strain into a",JILLIAN VOSE 2011,
1020,175,ANGIE’S SECRET,APPLETON ESTATE V/X RUM,RUM (JAMAICAN),1,coupe. No garnish.,Every D&C bartender hates certain drinks,
1021,175,ANGIE’S SECRET,BECHEROVKA,OTHER (BECHEROVKA),1,,"others make. Joaquín hates this one, but I love",
1022,175,ANGIE’S SECRET,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.166667,,it because it tastes like Christmas—more,
1023,175,ANGIE’S SECRET,BITTERMENS XOCOLATL MOLE BITTERS,BITTERS (CHOCOLATE),0.0625,,"specifically, a plate of Christmas cookies in a",
1024,,,,,,,glass.—JV,
1025,,,,,,,,
1026,,,,,,,,
1027,175,ARRACK STRAP,CRUZAN BLACK STRAP RUM,RUM (SPANISH),1,GARNISH: 1 ORANGE TWIST,BRAD FARRAN 2012,
1028,175,ARRACK STRAP,VAN OOSTEN BATAVIA ARRACK,BATAVIA ARRACK,1,"Stir all the ingredients over ice, then strain into an","At some point, every Death & Co bartender",
1029,175,ARRACK STRAP,COCCHI VERMOUTH DI TORINO,VERMOUTH (SWEET),1,"old-fashioned glass over 1, large ice cube. Garnish",takes on the challenge of Batavia arrack. One,
1030,175,ARRACK STRAP,CAMPARI,AMARO (APERITIVO),0.166667,with the orange twist.,of the best ways to combat arrack is by,
1031,175,ARRACK STRAP,DEMERARA SYRUP,SYRUP (DEMERARA),0.0833335,,"balancing it with another strong flavor, in this",
1032,175,ARRACK STRAP,BITTERMENS XOCOLATL MOLE BITTERS,BITTERS (CHOCOLATE),0.0625,,case Black Strap rum.—BF,
1033,175,ARRACK STRAP,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.0625,,,
1034,,,,,,,,
1035,176,BUMBOO,SANTA TERESA 1796 RUM,RUM (SPANISH),2,GARNISH: NUTMEG,BRIAN MILLER 2009,
1036,176,BUMBOO,DEMERARA SYRUP,SYRUP (DEMERARA),0.166667,"Stir all the ingredients over ice, then strain into a",Pirates used to drink a concoction made with,
